Item,Data Item,Data Type,Format,Max Length,File,Min_Date,Max_Date,group_id,pandas_dtype,polars_dtype,Data Element,Type,Description
P23,UPB of Loans 60 days delinquent,Numeric,11.2,14,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P24,Percentage of UPB of Loans 60 days delinquent,Numeric,3.2,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P25,Number of Loans 90+ days delinquent,Numeric,,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P26,UPB of Loans 90+ days delinquent,Numeric,11.2,14,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P27,Percentage of UPB of Loans 90+ days delinquent,Numeric,3.2,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P28,Security RPB,Numeric,11.2,14,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
P29,RPB Factor,Numeric,1.8,10,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,-1.0,,,,,
L1,Disclosure Sequence Number,Numeric,,10,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L2,Case Number,String,,15,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L3,Agency Type,String,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L4,Loan Type,String,,3,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L5,Loan Term,Numeric,,3,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L6,First Payment Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L7,Maturity Date of Loan,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
L8,Loan Interest Rate,Numeric,2.3,6,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,0.0,,,,,
